Recording ID,Database,Subspecies_Friis,Latitude,Longitude,Date,Month,Year,Time
125108041,ML,hyemalis,41.1098,-73.8352,11/24/18,11,2018,1333
126304101,ML,hyemalis,43.2513,-79.9489,12/2/18,12,2018,1120
135762001,ML,oreganus,48.3116,-121.5479,4/22/18,4,2018,757
137820811,ML,hyemalis,40.7461,-80.027,3/21/16,3,2016,1100
139400531,ML,dorsalis,31.9331228,-104.84649,5/20/17,5,2017,600
139600141,ML,hyemalis,35.6209,-82.4279,2/7/19,2,2019,730
141072861,ML,oreganus,38.455395,-122.84817,2/15/19,2,2019,652
141253701,ML,caniceps,39.5869,-104.994,2/17/19,2,2019,1505
141686301,ML,oreganus,37.084,-122.061,2/19/19,2,2019,1548
141822221,ML,oreganus,49.2716,-123.194,2/20/19,2,2019,1137
141822561,ML,oreganus,49.2716,-123.194,2/20/19,2,2019,1137
142274581,ML,oreganus,58.3610546,-134.64553,2/23/19,2,2019,0
143592511,ML,hyemalis,42.4938,-76.4896,3/3/19,3,2019,0
144188981,ML,caniceps,31.7383,-110.8869,3/5/19,3,2019,0
144190311,ML,caniceps,31.733668,-110.882269,3/1/19,3,2019,0
144621901,ML,mearnsi,40.6708,-111.807,3/5/19,3,2019,1200
144621941,ML,mearnsi,40.6708,-111.807,3/5/19,3,2019,1200
144802941,ML,hyemalis,40.7461,-80.027,4/12/16,4,2016,900
145406011,ML,oreganus,48.3396,-123.672,3/14/19,3,2019,935
145648521,ML,oreganus,48.5202,-123.418,3/16/19,3,2019,955
146169611,ML,hyemalis,"36.4757, ",-79.7427,3/18/19,3,2019,0
146625681,ML,hyemalis,38.2988,-97.2578,3/21/19,3,2019,1717
146822291,ML,hyemalis,44.1363784,-79.449421,3/21/19,3,2019,1530
147117751,ML,hyemalis,44.2545,-72.5686,3/24/19,3,2019,1824
147288551,ML,hyemalis,39.83,-74.99,3/24/19,3,2019,1337
147307601,ML,hyemalis,53.5261,-113.478,3/25/19,3,2019,1255
147308521,ML,hyemalis,53.5257,-113.498,3/24/19,3,2019,1020
147332391,ML,hyemalis,44.920967,-93.2347699,3/25/19,3,2019,0
147477091,ML,hyemalis,42.7131187,-71.645093,3/26/19,3,2019,1030
147479191,ML,hyemalis,40.9531,-73.7012,3/26/19,3,2019,1000
147661641,ML,hyemalis,42.413,-85.3798,3/27/19,3,2019,1720
147868511,ML,hyemalis,42.7815432,-73.450813,3/28/19,3,2019,1515
147880361,ML,hyemalis,44.1363784,-79.449421,3/29/19,3,2019,859
147939081,ML,oreganus,49.31,-117.648,3/29/19,3,2019,909
148006891,ML,hyemalis,43.0039,-82.4091,3/24/19,3,2019,703
148089011,ML,hyemalis,39.901,-75.3469,3/30/19,3,2019,703
148094811,ML,hyemalis,40.9531,-73.7012,3/30/19,3,2019,920
148176791,ML,hyemalis,42.2942745,-76.638758,3/30/19,3,2019,741
148176961,ML,hyemalis,42.2943,-76.6388,3/30/19,3,2019,0
148244941,ML,hyemalis,42.3051572,-72.378051,3/30/19,3,2019,639
148336401,ML,hyemalis,38.1643,-78.4377,3/31/19,3,2019,859
148363681,ML,hyemalis,53.5261,-113.478,3/31/19,3,2019,1015
148478631,ML,hyemalis,44.3632,-79.7136,4/1/19,4,2019,1231
148478641,ML,hyemalis,44.3632,-79.7136,4/1/19,4,2019,1231
148586921,ML,oreganus,37.8758,-122.253,4/1/19,4,2019,1151
148666291,ML,hyemalis,43.812,-73.4951,4/2/19,4,2019,653
148703751,ML,hyemalis,41.6028,-85.8772,4/2/19,4,2019,1730
148713141,ML,hyemalis,42.1188,-71.2077,4/2/19,4,2019,1018
148729111,ML,hyemalis,45.5577,-94.3767,4/1/19,4,2019,1600
148783981,ML,hyemalis,40.7392,-75.0932,3/31/19,3,2019,1040
148919291,ML,oreganus,47.3894,-122.455,4/3/19,4,2019,1750
148991381,ML,hyemalis,53.5261,-113.478,4/1/19,4,2019,950
148991831,ML,hyemalis,53.5257,-113.498,4/3/19,4,2019,1015
149145121,ML,hyemalis,39.8349,-74.9939,4/4/19,4,2019,1028
149162471,ML,oreganus,51.1004,-114.267,4/5/19,4,2019,643
149278821,ML,hyemalis,53.5257,-113.498,4/5/19,4,2019,945
149394011,ML,hyemalis,42.293,-76.6551,4/6/19,4,2019,0
149394091,ML,hyemalis,42.293,-76.6551,4/6/19,4,2019,0
149582971,ML,hyemalis,43.8133,-73.5018,4/7/19,4,2019,711
149669641,ML,dorsalis,34.2456,-109.741,4/7/19,4,2019,921
149670301,ML,dorsalis,34.2456,-109.741,4/7/19,4,2019,921
149885821,ML,hyemalis,42.5581699,-76.624575,2/14/19,2,2019,750
150032121,ML,hyemalis,42.2736,-83.7686,4/7/19,4,2019,1053
150233591,ML,hyemalis,43.316779,-70.765686,4/9/19,4,2019,642
150290431,ML,oreganus,45.7309,-122.637,4/8/19,4,2019,1320
150390441,ML,hyemalis,53.519927,-114.13283,4/11/19,4,2019,1105
150490461,ML,hyemalis,40.7511,-80.0299,4/11/19,4,2019,1000
150536321,ML,hyemalis,35.1057,-82.6275,4/12/19,4,2019,1046
150722351,ML,hyemalis,43.6956,-80.2469,4/13/19,4,2019,656
151009041,ML,hyemalis,45.507,-77.9484,4/14/19,4,2019,0
151051861,ML,hyemalis,44.266321,-72.567099,4/14/19,4,2019,1404
151100881,ML,hyemalis,43.316779,-70.765686,4/7/19,4,2019,647
151155601,ML,oreganus,48.4926,-123.345,4/14/19,4,2019,1105
151163421,ML,hyemalis,45.5043,-77.5763,4/14/19,4,2019,1300
151260911,ML,hyemalis,44.4692,-88.8212,4/14/19,4,2019,1200
151325241,ML,hyemalis,44.1363784,-79.449421,4/14/19,4,2019,912
151475471,ML,hyemalis,45.541,-73.8231,4/16/19,4,2019,758
151551311,ML,hyemalis,43.812,-73.4951,4/11/19,4,2019,1600
151587521,ML,oreganus,47.6591,-116.836,4/16/19,4,2019,1445
151861881,ML,hyemalis,44.5292,-72.6982,4/18/19,4,2019,830
151878331,ML,hyemalis,39.8293,-74.9917,4/18/19,4,2019,912
151926641,ML,oreganus,36.4993,-121.8104,4/18/19,4,2019,903
151997041,ML,hyemalis,44.1363784,-79.449421,4/16/19,4,2019,1110
152077241,ML,hyemalis,47.2014,-79.3673,4/18/19,4,2019,1026
152085781,ML,hyemalis,45.1792,-75.8261,4/19/19,4,2019,629
152146571,ML,oreganus,47.6299,-122.366,4/9/19,4,2019,737
152263611,ML,hyemalis,43.443482,-72.399556,4/13/19,4,2019,605
152266901,ML,hyemalis,48.4221,-71.0452,4/20/19,4,2019,844
152382761,ML,hyemalis,45.5762,-62.3519,4/20/19,4,2019,1325
152568181,ML,hyemalis,45.5264,-73.5693,4/20/19,4,2019,1300
152662811,ML,hyemalis,35.0648,-82.777,4/21/19,4,2019,852
152854171,ML,oreganus,38.3591,-123.009,4/22/19,4,2019,828
152910811,ML,hyemalis,53.3656,-103.436,4/21/19,4,2019,650
152933131,ML,hyemalis,45.5042915,-77.576263,4/22/19,4,2019,520
153102501,ML,hyemalis,35.4028,-82.7565,4/23/19,4,2019,945
153389781,ML,hyemalis,45.507,-77.9484,4/24/19,4,2019,0
153615861,ML,hyemalis,42.4937,-76.4857,4/22/19,4,2019,0
153748011,ML,hyemalis,42.3742,-71.1452,4/25/19,4,2019,0
153786031,ML,hyemalis,43.4376,-70.4465,4/14/19,4,2019,1529
153830581,ML,hyemalis,44.4692,-88.8212,4/20/19,4,2019,1105
154010841,ML,hyemalis,46.529,-84.3023,4/26/19,4,2019,1120
154435311,ML,hyemalis,41.1646,-80.1024,4/28/19,4,2019,820
154606641,ML,hyemalis,53.535,-113.477,4/28/19,4,2019,1215
154663711,ML,hyemalis,45.5042915,-77.576263,4/29/19,4,2019,532
