FileName,ID_Num,avg_silence_duration.ms.,avg_syllable_duration.ms.,avg_sylls_freq_range.Hz.,avg_sylls_lower_freq.Hz.,avg_sylls_upper_freq.Hz.,bout_duration.ms.,largest_silence_duration.ms.,largest_syllable_duration.ms.,largest_sylls_freq_range.Hz.,max_sylls_freq.Hz.,mean_syllable_stereotypy,min_sylls_freq.Hz.,num_syllable_per_bout_duration.1.ms.,num_syllables,num_syllables_per_num_unique,num_unique_syllables,overall_sylls_freq_range.Hz.,sequential_repetition,smallest_silence_duration.ms.,smallest_syllable_duration.ms.,smallest_sylls_freq_range.Hz.,stdev_silence_duration.ms.,stdev_syllable_duration.ms.,stdev_syllable_stereotypy,stdev_sylls_freq_range.Hz.,syll_correlation_threshold,syllable_pattern,syllable_stereotypy,subspecies
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_seg 1 XC247523 - Dark-eyed Junco - Junco hyemalis dorsalis.gzip,247523,4.01050276,4.138566255,7.474364103,8.266644021,8.632513512,7.124145922,70.47619048,64.12698413,2192.105263,6060.526316,4.285662141,3825.438596,-4.726250615,2.397895273,11,0,2278.070175,1,47.93650794,60.63492063,1504.385965,6.222366193,1.248742467,NA,164.2357343,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[72.65063576],dorsalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_XC247781.gzip,247781,3.429181185,4.281943176,7.289600542,8.39227953,8.671606995,7.096668818,44.12698413,83.49206349,1977.192982,6361.403509,3.966682314,4341.22807,-4.611762165,2.48490665,6,0.693147181,2063.157895,0.909090909,18.0952381,53.65079365,1289.473684,6.590369424,7.208770753,NA,176.231247,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[52.8090361],hyemalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_XC253373.gzip,253373,3.57307858,4.419796357,7.897557314,8.215139332,8.755297948,7.048758686,51.11111111,99.04761905,3051.754386,6619.298246,4.155112986,3610.526316,-4.746173539,2.302585093,3.333333333,1.098612289,3051.754386,0.777777778,31.42857143,44.12698413,1074.561404,6.014548955,15.0859913,NA,578.8729647,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 9]",[63.75916802],oreganus
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-253589-bout1.gzip,253589,3.284932949,3.781962528,8.244265287,8.079113136,8.852110858,8.120451825,46.66666667,51.74603175,4470.175439,7607.894737,4.178493291,3137.719298,-4.249250847,3.871201011,48,0,4513.157895,1,19.04761905,23.17460317,2793.859649,9.033531105,9.689863488,NA,411.6012986,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[65.26744007],caniceps
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-253589-bout2.gzip,253589,3.078790801,3.901458364,8.277696139,8.091071553,8.875890892,8.320753392,28.88888889,54.92063492,4384.210526,7521.929825,4.343211645,3137.719298,-4.260310367,4.060443011,58,0,4427.192982,1,16.82539683,46.03174603,3395.614035,2.415523897,1.754796083,NA,244.0997247,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[76.95429276],caniceps
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-253589-bout3.gzip,253589,3.19664344,3.846117509,8.274046275,8.113062121,8.883998152,8.267428582,42.85714286,49.52380952,4298.245614,7607.894737,4.326884908,3137.719298,-4.260095415,4.007333185,55,0,4513.157895,1,21.58730159,26.66666667,3223.684211,3.787241784,3.949901445,NA,202.9065523,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[75.70808122],caniceps
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-253841-bout1.gzip,253841,3.016027569,3.379589952,7.558525895,8.277349563,8.666955308,7.109723833,31.42857143,34.92063492,2321.052632,6189.473684,4.1948792,3653.508772,-3.890847987,3.218875825,25,0,2578.947368,1,12.06349206,25.07936508,1504.385965,4.578936369,3.539979108,NA,250.0135936,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[66.34571656],hyemalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-253841-bout2.gzip,253841,3.03039779,3.415456535,7.692617668,8.23812885,8.688045721,7.252132695,28.57142857,38.0952381,2750.877193,6361.403509,4.088662921,3438.596491,-3.919928169,3.33220451,14,0.693147181,2965.789474,0.888888889,11.42857143,26.03174603,1332.45614,4.525968967,3.338188883,8.062268067,387.2840591,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[53.95918367 65.36095252],hyemalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-253841-bout3.gzip,253841,3.247046702,4.426650915,8.196697904,7.85751472,8.727624707,7.316811814,37.77777778,88.88888889,4212.280702,6576.315789,4.058003693,2235.087719,-4.677754535,2.63905733,4.666666667,1.098612289,4384.210526,0.384615385,21.9047619,80,2707.894737,4.298433018,2.572287651,3.307306255,398.1442379,53.5,"[0, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 1, 0]",[54.03976311 59.75760926 59.77870365],hyemalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_seg 1 XC254477 - Dark-eyed Junco - Junco hyemalis aikeni.gzip,254477,3.317337599,4.465465934,8.079639769,8.054807793,8.753084651,7.287247094,34.41666667,89.83333333,3415.204678,6549.707602,4.420702043,2994.152047,-4.722297774,2.564949357,6.5,0.693147181,3602.339181,0.916666667,25.08333333,81.08333333,3087.719298,2.419437957,2.054977974,NA,101.0641824,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[83.15464302],aikeni
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_seg 1 XC254478 - Dark-eyed Junco - Junco hyemalis aikeni.gzip,254478,3.290851896,4.656180107,7.975888264,7.856496217,8.602565799,7.16559007,39.375,108.5,3134.502924,5567.251462,4.309020451,2479.532164,-4.863004954,2.302585093,10,0,3134.502924,1,21.58333333,96.83333333,2807.017544,5.523300462,3.261801933,NA,109.8280974,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[74.3676065],aikeni
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_seg 1 XC254480 - Dark-eyed Junco - Junco hyemalis aikeni.gzip,254480,3.225106375,4.573222957,8.016363921,8.017550865,8.7023597,7.353081921,29.75,100.0416667,3274.853801,6315.789474,4.378243877,2900.584795,-4.788132548,2.564949357,13,0,3461.988304,1,20.70833333,91.58333333,2760.233918,2.814449381,1.910589352,NA,156.5141825,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[79.69795105],aikeni
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-256194-bout1.gzip,256194,3.779851232,4.075652429,7.596203939,8.112681576,8.572468132,7.377362004,73.33333333,66.98412698,2106.140351,5372.807018,4.081307365,3266.666667,-4.604773265,2.772588722,5.333333333,1.098612289,2149.122807,0.8,33.01587302,37.77777778,1805.263158,9.404391144,6.948441782,NA,76.43750377,53.5,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15]",[59.22284515],oreganus
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-256194-bout2.gzip,256194,3.653721439,4.191203433,7.629675548,8.128127955,8.594866924,7.520965566,48.25396825,77.77777778,2621.929825,5974.561404,4.062372639,3137.719298,-4.630593846,2.890371758,3.6,1.609437912,2879.824561,0.647058824,27.93650794,55.55555556,1590.350877,5.926335798,6.497388966,4.396180881,224.9863397,53.5,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 15, 15, 17]",[63.01561687 54.5233463  56.79711637],oreganus
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-256194-bout3.gzip,256194,3.406474439,4.331933539,7.75324229,8.102972762,8.62880714,7.420483853,48.25396825,100.6349206,2707.894737,6146.491228,4.098729041,3094.736842,-4.647895136,2.772588722,2,2.079441542,3094.736842,0.266666667,20.31746032,51.42857143,1934.210526,7.951912488,10.3101928,9.092653399,246.2754709,53.5,"[0, 1, 2, 3, 1, 5, 1, 1, 1, 3, 3, 11, 12, 13, 12, 12]",[64.79747477 66.19792985 49.79553425],oreganus
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-267990-bout1.gzip,267990,2.349105109,3.696513079,8.057373464,8.052195764,8.741086613,7.287712627,16.19047619,44.44444444,3352.631579,6404.385965,4.22572473,3051.754386,-3.920416785,3.36729583,29,0,3395.614035,1,5.079365079,33.96825397,2707.894737,2.440753988,2.386965587,NA,129.7564855,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[68.42407454],hyemalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-267990-bout2.gzip,267990,2.385722472,3.690641569,8.037972426,8.06685713,8.738802102,7.218502624,19.04761905,44.12698413,3309.649123,6404.385965,4.152260522,3094.736842,-3.922665739,3.295836866,27,0,3352.631579,1,7.301587302,33.65079365,2020.175439,2.937573644,2.442165237,NA,271.9707467,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[63.57755643],hyemalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-267990-bout3.gzip,267990,2.322952396,3.72588465,8.058563233,8.059048787,8.745132244,7.270853991,13.01587302,44.76190476,3438.596491,6447.368421,4.128093557,3051.754386,-3.938649464,3.33220451,14,0.693147181,3438.596491,0.888888889,6.349206349,39.04761905,2621.929825,1.620420552,1.220759258,10.23438376,181.4118955,53.5,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[54.82269504 69.29629935],hyemalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-267998-bout1.gzip,267998,3.201799636,3.983206069,7.317282302,8.366761902,8.659526957,7.566343878,58.73015873,61.26984127,1805.263158,5888.596491,4.162490023,3997.368421,-4.34746808,3.218875825,8.333333333,1.098612289,1934.210526,0.875,20,23.49206349,687.7192982,7.543864543,6.751986168,NA,245.1884471,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 20, 1, 1, 1, 1]",[64.23126095],hyemalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-267998-bout2.gzip,267998,3.052052594,4.058956254,7.475524868,8.31065084,8.663594625,7.402064299,24.76190476,66.66666667,1891.22807,5888.596491,4.217741871,3954.385965,-4.357541888,3.044522438,21,0,1977.192982,1,13.01587302,51.42857143,1547.368421,2.407317131,2.811937674,NA,88.58577898,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[67.88002925],hyemalis
