FileName,ID_Num,avg_silence_duration(ms),avg_syllable_duration(ms),avg_sylls_freq_range(Hz),avg_sylls_lower_freq(Hz),avg_sylls_upper_freq(Hz),bout_duration(ms),largest_silence_duration(ms),largest_syllable_duration(ms),largest_sylls_freq_range(Hz),max_sylls_freq(Hz),mean_syllable_stereotypy,min_sylls_freq(Hz),num_syllable_per_bout_duration(1/ms),num_syllables,num_syllables_per_num_unique,num_unique_syllables,overall_sylls_freq_range(Hz),sequential_repetition,smallest_silence_duration(ms),smallest_syllable_duration(ms),smallest_sylls_freq_range(Hz),stdev_silence_duration(ms),stdev_syllable_duration(ms),stdev_syllable_stereotypy,stdev_sylls_freq_range(Hz),syll_correlation_threshold,syllable_pattern,syllable_stereotypy,subspecies,latitude,longitude
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323581561-bout-1.gzip,323581561,23.01515152,70.14583333,3773.879142,2705.653021,6432.748538,1094.916667,34.41666667,78.45833333,4023.391813,6783.625731,69.66067841,2479.532164,0.010959738,12,12,1,4350.877193,1,16.04166667,61.25,3602.339181,4.983071089,4.672463256,,121.8879901,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[69.66067841],oreganus,32.8729818,-116.46385
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323581561-bout-2.gzip,323581561,27.00833333,65.54545455,3096.225412,2909.090909,5958.532695,991.0833333,32.375,68.25,3461.988304,6269.005848,65.71758324,2713.450292,0.011098966,11,11,1,3602.339181,1,23.04166667,59.79166667,2432.748538,3.426859232,2.82808672,,410.9606309,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[65.71758324],oreganus,32.8729818,-116.46385
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323581561-bout-3.gzip,323582741,26.09090909,65.98958333,3384.015595,2955.165692,6292.397661,1078.875,34.70833333,86.04166667,3602.339181,6409.356725,66.2432409,2666.666667,0.011122697,12,6,2,3789.473684,0.909090909,7.583333333,57.75,2479.532164,7.468447941,7.890329496,,295.4369773,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[66.2432409],oreganus,37.8217515,-122.23314
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323582741-bout-1.gzip,323582741,20.68027211,119.2460317,3191.447368,3443.969298,6592.434211,1098.730159,38.0952381,141.5873016,3782.45614,6748.245614,58.52478696,2922.807018,0.007281133,8,2.666666667,3,3868.421053,0.571428571,13.01587302,65.71428571,1676.315789,9.797527932,23.15249932,6.451324173,693.7373747,53.5,"[0, 1, 1, 1, 1, 1, 0, 7]",[53.96301189 63.08656203],oreganus,37.8217515,-122.23314
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323582741-bout-2.gzip,323582741,12.57936508,135.7319224,3257.11501,3128.167641,6342.300195,1322.222222,20.31746032,142.2222222,3438.596491,6533.333333,59.1011279,3051.754386,0.006806723,9,4.5,2,3524.561404,0.75,7.301587302,122.5396825,3137.719298,4.421507057,6.400804448,,106.9774915,53.5,"[0, 0, 0, 0, 0, 0, 0, 7, 0]",[59.1011279],oreganus,37.8217515,-122.23314
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323582741-bout-3.gzip,323587221,23.01587302,125.1146384,3094.736842,3443.37232,6495.126706,1310.15873,30.47619048,140.6349206,3395.614035,6576.315789,58.13852196,3137.719298,0.006869397,9,9,1,3481.578947,1,17.14285714,114.2857143,2450,5.561059794,9.141044304,,340.4850861,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[58.13852196],oreganus,37.5017937,-121.94674
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323587221-bout-2.gzip,323587221,18.77272727,40.95380435,2221.205187,4222.73074,6350.368675,1354.9375,29.45833333,50.60416667,2432.748538,6456.140351,52.10515346,4116.959064,0.016974953,23,11.5,2,2432.748538,0.954545455,11.66666667,28.14583333,1684.210526,4.66431838,5.157421456,5.54440668,162.5961623,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 21]",[48.1846659  56.02564103],oreganus,37.5017937,-121.94674
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323587221-bout-3.gzip,323604091,15.96875,43.3759058,2188.660056,4190.185609,6285.278413,1348.958333,34.27083333,53.375,2432.748538,6456.140351,47.75773886,4023.391813,0.017050193,23,7.666666667,3,2526.315789,0.909090909,5.25,32.52083333,1964.912281,6.719457865,5.668742929,,145.8818189,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22]",[47.75773886],oreganus,47.3897935,-122.45243
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323604091-bout-1.gzip,323604091,35.48611111,47.48026316,1790.089258,4272.083718,6015.389351,1540.875,50.75,55.125,1871.345029,6081.871345,71.46966554,4163.74269,0.012330656,19,19,1,1964.912281,1,28.58333333,43.75,1637.426901,4.698725665,3.053735835,,53.66449915,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[71.46966554],oreganus,47.3897935,-122.45243
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323604091-bout-2.gzip,323604091,24.26666667,56.91145833,1771.929825,4298.245614,6023.391813,1274.583333,45.20833333,71.16666667,1871.345029,6081.871345,62.06687778,4210.526316,0.012553122,16,16,1,1918.128655,1,11.08333333,41.125,1637.426901,8.166071407,8.166579861,,74.21756902,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[62.06687778],oreganus,47.3897935,-122.45243
