ID_Num,avg_silence_duration.ms.,avg_syllable_duration.ms.,avg_sylls_freq_range.Hz.,avg_sylls_lower_freq.Hz.,avg_sylls_upper_freq.Hz.,bout_duration.ms.,mean_syllable_stereotypy,num_syllable_per_bout_duration.1.ms.,num_syllables,num_unique_syllables,subspecies
59848,2.850399286,4.120240906,8.556238169,8.119635335,9.04969018,7.536660191,4.439551635,-4.358606324,3.17805383,0,hyemalis
59849,3.001447831,3.397615972,8.157574136,8.254879661,8.89468086,7.51215798,4.40624964,-3.901240051,3.610917913,0,hyemalis
59850,2.976141264,3.350001925,8.080799496,8.227321272,8.843706088,7.473429774,4.333543435,-3.862511863,3.610917913,0,hyemalis
59851,3.47757036,4.276530443,7.625562156,8.275027073,8.688045721,7.188748363,4.101755255,-4.62379903,2.564949357,1.098612289,hyemalis
59851,3.102390648,3.992798046,7.656007923,8.045527363,8.554514328,6.797089711,4.211692979,-4.312183085,2.48490665,0.693147181,hyemalis
59852,3.077604808,4.598236775,7.919675119,7.98202835,8.636887025,7.618524061,4.338393927,-4.785310763,2.833213344,0.693147181,hyemalis
59853,2.858015023,4.364815884,7.909466942,8.086909476,8.688045721,7.55161217,4.361196346,-4.555879861,2.995732274,0,hyemalis
59854,2.773470168,3.659249788,7.946651707,8.174888188,8.753651219,7.326256737,4.339203667,-3.994052214,3.33220451,0.693147181,hyemalis
59856,2.954385602,3.488296938,7.604536201,8.179632644,8.61827615,7.338506448,4.41792878,-3.93730907,3.401197382,0.693147181,hyemalis
67153,2.743567143,3.941427689,8.115447474,8.177220097,8.833713316,7.414764104,4.149397543,-4.195888304,3.218875825,1.098612289,hyemalis
67164,3.558259272,3.518549206,7.387796086,8.213587741,8.56863092,6.905212366,4.179948103,-4.19716218,2.708050201,0.693147181,hyemalis
71985,3.044414452,3.338518105,7.924512538,8.203443292,8.760099039,7.247849068,4.278333193,-3.880553215,3.36729583,0,oreganus
71985,3.048502309,3.329934362,8.046215989,8.108485991,8.764290814,7.278990375,4.381078962,-3.877792994,3.401197382,0,oreganus
71988,3.258706853,3.703138607,7.737353562,8.094028506,8.616906211,7.224302432,4.321309287,-4.179779974,3.044522438,0,oreganus
71988,3.290756938,3.68743541,7.707655546,8.090328488,8.60247061,7.274380554,4.314242014,-4.183338084,3.091042453,0,oreganus
71988,3.327767513,3.669942253,7.704137512,8.098082777,8.605694686,7.278552258,4.330746052,-4.18750981,3.091042453,0,oreganus
71990,3.009640703,3.852808324,8.042844855,7.985189726,8.70044836,7.084239727,4.292847966,-4.193867947,2.890371758,0,oreganus
71990,3.15666264,3.789607407,7.998302799,8.015152397,8.692723595,7.028145143,4.226072406,-4.194931821,2.833213344,0,oreganus
71990,3.146275012,3.778642773,7.972919633,8.034366962,8.69005658,7.075688098,4.295744891,-4.18531636,2.890371758,0,oreganus
71991,3.451078745,4.573564847,7.795032674,8.174801716,8.688770096,7.133055234,4.070804809,-4.830470186,2.302585093,1.098612289,oreganus
71997,2.877949238,4.514168173,7.738602782,8.094153498,8.617498848,6.978228536,4.390518656,-4.675643403,2.302585093,0,oreganus
71997,3.5150928,4.289094577,7.896685601,7.922512,8.594907095,7.0371113,4.328420742,-4.639216024,2.397895273,0,oreganus
71997,3.235873401,4.409074547,8.047508491,7.808616582,8.62060444,7.054805983,4.353068919,-4.656910738,2.397895273,0.693147181,oreganus
71998,3.085495592,4.44645068,7.685047609,8.152388121,8.631280698,7.223839683,4.222944309,-4.658890318,2.564949357,0.693147181,oreganus
71998,2.772588722,4.549691034,7.674631572,8.145088819,8.622716373,7.090605797,4.173882751,-4.692710539,2.397895273,0.693147181,oreganus
71998,2.886033356,4.493321886,7.692617668,8.143859795,8.628967307,7.146897156,4.130072773,-4.661990516,2.48490665,0.693147181,oreganus
72007,3.358449532,4.494209066,7.842557816,8.29249507,8.779175017,7.237173214,4.277130931,-4.75226654,2.48490665,0,oreganus
72007,3.427308526,4.462984674,7.781669446,8.314668927,8.769759273,6.812921176,4.187015186,-4.73347958,2.079441542,0,oreganus
72010,3.298381148,4.081363851,8.04867968,8.134187781,8.778899345,7.210560513,4.277410116,-4.437971827,2.772588722,0,oreganus
72010,3.234624182,4.121486103,8.120061683,8.114076202,8.803786953,7.154863342,4.254513308,-4.446813165,2.708050201,0.693147181,oreganus
72010,3.085737401,4.170411121,8.046961466,8.119901824,8.770593649,7.218269931,4.24516832,-4.445681237,2.772588722,0,oreganus
72011,2.754089101,4.135108835,8.169726123,7.882044051,8.722364401,7.441180735,4.200352027,-4.350138276,3.091042453,0.693147181,oreganus
72011,3.067683727,4.048196407,8.04339289,7.869321233,8.645756121,7.398183813,4.13502202,-4.353661399,3.044522438,0,oreganus
72011,2.915388896,4.096642357,8.149859046,7.857308152,8.700258179,7.48952742,4.073057014,-4.354033173,3.135494216,1.098612289,oreganus
72013,3.047818904,3.967893112,7.712035754,8.265589248,8.712738333,7.284668485,4.117042281,-4.288936226,2.995732274,1.609437912,oreganus
72013,2.874371416,4.064163243,7.609925953,8.304593275,8.702434458,7.363168862,4.024533237,-4.318646434,3.044522438,0.693147181,oreganus
72921,3.411723795,4.491663707,8.127705033,8.048507991,8.775419351,6.341450503,3.995311869,-4.732012571,1.609437912,1.386294361,hyemalis
74728,3.743573046,4.309560969,8.094557213,8.109580029,8.788712966,7.29592889,4.31405369,-4.730979584,2.564949357,0,hyemalis
76515,2.644252147,3.881711909,8.344959719,7.892207725,8.830320106,7.495958524,4.308833455,-4.12866269,3.36729583,0.693147181,oreganus
76620,4.23422727,5.311048481,7.953671149,7.980699821,8.652282824,7.352708159,4.260138521,-5.560948647,1.791759469,0,dorsalis
76621,3.5736972,4.774948122,8.370577406,7.792923413,8.809076951,7.317129404,4.37037054,-5.014544375,2.302585093,0.693147181,dorsalis
76622,4.183321599,4.6833843,7.727097062,8.229121179,8.694629541,7.18853861,4.330577262,-5.109096995,2.079441542,0.693147181,dorsalis
79073,3.886298114,4.783072823,7.768125221,8.208658428,8.69845831,7.289664694,4.368373557,-5.092440103,2.197224577,0.693147181,hyemalis
79073,3.842057844,4.778856684,7.790598077,8.210769332,8.708665008,7.153126153,4.286749453,-5.073684685,2.079441542,0,hyemalis
79073,3.882218141,4.802661229,7.772157485,8.207357191,8.699254805,7.303009705,4.257383251,-5.105785117,2.197224577,0.693147181,hyemalis
79074,3.311778105,4.14744737,7.54498167,8.235503028,8.634226208,7.049034359,4.284321913,-4.484084964,2.564949357,0,hyemalis
79074,3.610158624,3.993007185,7.496759526,8.254232258,8.631069972,7.12261061,4.302847907,-4.483553265,2.63905733,0,hyemalis
79074,3.096687496,4.227545212,7.510296112,8.242987159,8.627776885,7.128737766,4.143134564,-4.489680445,2.63905733,0,hyemalis
79075,2.443663692,4.402645922,7.539283648,8.218042092,8.62060444,7.009107774,4.058976078,-4.524201169,2.48490665,1.098612289,hyemalis
79076,2.78442318,4.976794556,8.04667481,8.084188586,8.751980195,7.268643557,4.120116595,-5.071418954,2.197224577,0.693147181,hyemalis
79076,2.870780748,4.938993414,8.055807294,8.093715957,8.761376994,6.830908517,4.203722416,-5.039148973,1.791759469,0.693147181,hyemalis
79076,3.101092789,4.930567391,8.100879981,8.037458155,8.756071942,7.0053716,4.130997956,-5.059461424,1.945910149,0,hyemalis
79472,3.744020213,4.7993262,7.79724262,7.940931958,8.556582581,7.144645184,4.404631755,-5.065203683,2.079441542,0,hyemalis
79618,3.355007999,4.510859507,8.312972777,8.097830792,8.897950092,7.476495975,4.441677311,-4.768445755,2.708050201,0,hyemalis
82052,4.037186148,4.821305107,7.760302495,8.179632644,8.6776398,7.097456943,4.372475321,-5.151546824,1.945910149,0,hyemalis
82346,3.373298576,4.372238628,8.133686187,7.962767262,8.738152541,7.058908273,4.222332968,-4.661012972,2.397895273,0,oreganus
82348,3.452755191,4.619497078,7.874642093,8.036194731,8.644282427,7.26664998,4.256463869,-4.868754685,2.397895273,0,oreganus
85233,2.756588381,4.088041672,8.011962268,8.215865812,8.805828757,7.081841964,4.315118001,-4.309253238,2.772588722,0.693147181,hyemalis
85234,3.495063518,4.460402953,8.009287278,8.178536753,8.784074291,7.155606928,4.334521416,-4.757711645,2.397895273,0,hyemalis
85235,3.533043854,4.422531119,8.01403788,8.180636156,8.787410034,7.227074436,4.300861036,-4.742167808,2.48490665,0,hyemalis
85240,2.786773357,3.516036641,8.061733753,8.065376744,8.74991555,7.155111266,4.406544723,-3.897014745,3.258096538,0.693147181,hyemalis
85241,3.660708577,4.38238732,7.981635747,8.173039213,8.768392426,7.146147062,4.33313198,-4.748251838,2.397895273,0,hyemalis
85243,2.871979071,4.066853726,8.013741628,8.230285673,8.814646449,7.08928287,4.335001439,-4.316694129,2.772588722,1.098612289,hyemalis
87419,3.356841815,4.550605807,8.092720833,8.159720481,8.813557559,7.19185953,4.335827195,-4.793964244,2.397895273,0,hyemalis
94223,3.320419542,4.137974402,8.132046573,8.14103136,8.823387069,6.404834835,4.037577754,-4.458924699,1.945910149,1.791759469,hyemalis
94360,2.785930339,3.820866445,8.087129764,8.242747796,8.854996576,7.410932682,4.299695905,-4.115095828,3.295836866,0,hyemalis
94361,2.817592438,3.800538772,8.026716913,8.25803431,8.835965851,7.3659835,4.290223576,-4.107886988,3.258096538,0,hyemalis
96803,3.432791747,4.042424505,7.887926421,8.106219518,8.688951108,7.226843729,3.99075963,-4.454255021,2.772588722,1.386294361,hyemalis
97210,3.24479951,3.609057181,7.672815041,8.360111808,8.760815669,6.58671885,4.034825762,-4.101812176,2.48490665,1.609437912,hyemalis
99343,3.207167336,3.574259613,7.987861214,8.174957918,8.772287175,7.521309386,4.334019761,-4.087322197,3.433987204,0,oreganus
99347,2.918414026,4.079292538,7.800742526,8.191608835,8.701173159,7.170851876,4.391118775,-4.337638526,2.833213344,0,oreganus
99379,3.077343609,4.224165375,8.160167309,8.064857129,8.800338673,7.19185953,4.328519506,-4.483809292,2.708050201,0,hyemalis
99383,3.368615028,3.787471081,8.002917829,8.083451938,8.730219458,7.161043067,4.434750733,-4.270671324,2.890371758,0,oreganus
100904,3.119026257,4.303367724,7.546401116,8.003915734,8.485410537,7.328135064,4.415628807,-4.555546369,2.772588722,0,hyemalis
103277,2.796417327,4.60335448,7.394611712,8.325883998,8.650603963,7.384285184,4.16489516,-4.745227857,2.63905733,0.693147181,hyemalis
104511,3.318505666,4.617306257,8.189775653,7.887926421,8.736464207,7.406893826,4.296985422,-4.841944465,2.564949357,0.693147181,aikeni
104584,3.491213499,4.583974923,8.14281867,7.957772316,8.740258767,7.336882659,4.360662814,-4.851975993,2.48490665,0,aikeni
104585,3.656054908,4.838305321,8.249199074,7.879773902,8.767337345,7.155396302,4.409816771,-5.07595476,2.079441542,0.693147181,aikeni
105302,3.27356205,4.152302839,7.975385726,8.082714746,8.716619093,7.373583537,4.45321166,-4.48321179,2.890371758,0.693147181,caniceps
105480,3.466727474,4.86986274,8.368685782,7.803843304,8.812394768,7.469455062,4.399019827,-5.071559714,2.397895273,0,hyemalis
105481,2.907276853,4.653420306,7.788691499,8.503236601,8.895749783,6.738678949,4.018565199,-4.792768762,1.945910149,0,hyemalis
105782,2.807839671,4.01624001,8.04905729,8.089945181,8.756110626,7.487218155,4.348767529,-4.268342298,3.218875825,1.098612289,hyemalis
105786,2.983182194,4.422213507,8.024410439,7.882535572,8.641571713,7.330217964,4.368234153,-4.622167729,2.708050201,0,hyemalis
105793,2.6302725,4.198405533,7.949757835,8.228266325,8.785270464,7.47090224,4.399101946,-4.379859784,3.091042453,0.693147181,hyemalis
105801,3.086704052,4.609920789,8.279859523,8.023471913,8.846843969,7.277017339,4.479524124,-4.792110674,2.48490665,0,hyemalis
105801,3.157788133,4.585938824,8.143779747,8.049141772,8.784166356,7.350811772,4.41328424,-4.785862431,2.564949357,0,hyemalis
106782,3.453759712,4.359705959,7.610939638,8.253633037,8.668840741,7.453580264,4.342904486,-4.680991533,2.772588722,0,hyemalis
106789,3.321852549,3.719208494,7.340972073,8.307061114,8.621843982,7.435952941,4.299002932,-4.217077101,3.218875825,0,hyemalis
106908,2.867274707,3.339458243,7.471793407,8.267304339,8.632165262,7.451555041,4.420067687,-3.813968866,3.63758616,0,hyemalis
106916,3.899702521,4.840932201,7.808219678,8.136549057,8.671606995,7.214072163,4.237883925,-5.134630699,2.079441542,1.098612289,hyemalis
106922,3.818434698,4.87543963,7.814748537,8.150600811,8.682596116,7.220362225,4.238608642,-5.140920703,2.079441542,0.693147181,hyemalis
106952,3.101092789,4.002842217,7.952836265,8.209000577,8.775629017,7.272618827,4.410537972,-4.328179867,2.944438979,0,hyemalis
107262,3.796278706,3.899028893,7.909203819,8.159347972,8.728287837,7.218037183,4.02726129,-4.509987014,2.708050201,2.48490665,hyemalis
107854,3.249617919,3.270439916,7.846497001,8.107765914,8.673465977,7.67904914,4.218028257,-3.941379522,3.737669618,0.693147181,oreganus
107854,3.300182401,3.22249427,7.720892285,8.076898495,8.602088404,8.04088976,4.159749211,-3.946545198,4.094344562,0.693147181,oreganus
107854,3.201295726,3.315765784,7.766980322,8.106238,8.638565187,8.180565943,4.049297129,-3.946459442,4.234106505,1.098612289,oreganus
110985,3.392695737,4.575290986,8.13253874,7.901036587,8.709551926,7.218967849,4.465311774,-4.821072518,2.397895273,0,oreganus
110986,3.748569933,4.993343797,8.107191493,7.903926762,8.696703784,6.810124949,4.355722477,-5.200686971,1.609437912,0,oreganus
110987,3.437565026,5.00399957,7.788373382,8.260601706,8.738387476,7.251232403,4.240711952,-5.171790801,2.079441542,0.693147181,oreganus
111224,3.167182901,4.074978348,8.396329758,8.136549057,8.962506721,7.579889576,4.000939624,-4.401835787,3.17805383,1.609437912,unknown
111224,3.060000195,4.296096924,8.255961327,7.909203819,8.784124161,7.017107816,4.014655768,-4.532201176,2.48490665,1.609437912,unknown
111224,3.228838245,4.317034496,8.33255316,7.8993813,8.826095874,7.228227174,3.897753731,-4.589169876,2.63905733,1.098612289,unknown
111228,3.893869811,4.348740657,8.474816627,7.763569405,8.868251514,6.124301254,4.113331463,-4.738006849,1.386294361,1.386294361,caniceps
111872,3.003637453,4.329382901,8.187019565,8.061733753,8.813110492,7.113607334,4.317660309,-4.548658009,2.564949357,0,mearnsi
112096,3.283414346,3.913925956,7.84844761,8.14281867,8.692384122,5.878135862,4.372512031,-4.268697949,1.609437912,0,hyemalis
112102,3.443217952,4.608023255,7.954981933,8.219779712,8.782696922,7.158081565,4.334767086,-4.855496488,2.302585093,0.693147181,hyemalis
112102,3.46151072,4.587016991,7.916196855,8.209957973,8.760254029,7.037669025,4.231967982,-4.840444392,2.197224577,0,hyemalis
112102,3.357947398,4.648317517,7.952128864,8.174263503,8.755749517,7.064351945,4.030200244,-4.867127333,2.197224577,0.693147181,hyemalis
112140,3.142508893,3.664156316,8.091525376,8.163280959,8.814830605,7.37378276,4.39395651,-4.115686224,3.258096538,0,hyemalis
112144,3.262360937,4.504054203,7.755207926,8.398372466,8.814411691,7.577780042,4.227261132,-4.744566745,2.833213344,0,hyemalis
112147,3.115818989,3.806074427,8.388303382,8.199951364,8.986339566,7.495894616,4.353294295,-4.20005774,3.295836866,0.693147181,hyemalis
112174,3.331681087,4.294396637,7.92412947,8.165767603,8.738510515,7.236944825,4.398955969,-4.597887469,2.63905733,0,hyemalis
113826,3.381228074,3.916641951,7.912658877,8.237235164,8.77399395,7.247139937,4.293469283,-4.356768172,2.890371758,0,oreganus
113826,3.290324013,3.968625709,7.968865363,8.205254141,8.780007197,7.19227611,4.277849538,-4.359062735,2.833213344,0,oreganus
113826,3.267665989,3.984903372,7.958226965,8.216386598,8.781604642,7.254384096,4.321373612,-4.364012351,2.890371758,0,oreganus
